"Station (ie. WABC-AM  WCBS-FM)"," Home Nielsen Audio MSA"," Primary Format"," Simulcast"," Bdcasts in HD"," Multicasts"," Group Owner"," LMA",
"WPGB-FM","Pittsburgh, PA","Country","","Yes","HD2:Sports-Fox Sports 970-104.7 HD2","iHeartMedia, Inc.","",
"WOHF-FM","","Classic Hits","","No","","BAS Broadcasting, Inc.","",
"WNRS-AM","Utica-Rome","Spanish Tropical","WKALAM","No","","Arjuna Broadcasting Corp.","",
"WNRV-AM","","Bluegrass","","No","","New River Interactive, LLC","",
"WKMQ-AM","","Talk","","No","","iHeartMedia, Inc.","",
"WUBG-AM","Boston","Spanish CHR","","No","","Costa-Eagle Communications","",
"WNSL-FM","Laurel-Hattiesburg, MS","CHR","","No","","iHeartMedia, Inc.","",
"WNSN-FM","","Adult Contemporary","","No","","Mid-West Family Broadcasting","",
"WNSP-FM","Mobile","Sports","","No","","Dot Com Plus, LLC","",
"WCOO-FM","Charleston, SC","Adult Alternative","","No","","L.M. Communications, Inc.","",
"WNTA-AM","Rockford","Sports","","No","","Mid-West Family Broadcasting","",
"WLYD-FM","Evansville","Country","","No","","Midwest Communications, Inc.","",
"WNTJ-AM","","Hot AC","WJHTFM","No","","Seven Mountains Media, LLC","",
"WCNL-AM","Lebanon-Hanover-White River Junction, NH-VT","Country","","No","","SUGAR RIVER MEDIA, LLC","",
"WNTK-FM","Lebanon-Hanover-White River Junction, NH-VT","Talk","","No","","SUGAR RIVER MEDIA, LLC","",
"WNTM-AM","Mobile","Talk","","Yes","","iHeartMedia, Inc.","",
"WNTN-AM","Boston","Ethnic","","No","","DELTA COMMUNICATIONS, LLC","",
"WNTQ-FM","Syracuse","CHR","","Yes","","Cumulus Media, Inc.","",
"WCMD-AM","","News/Talk","","No","","West Virginia Radio Corp.","",
"WNTS-AM","Indianapolis","Spanish Oldies","","No","","Continental Broadcast Group, LLC","",
"WXVA-AM","Winchester, VA","Classic Hits","","No","","Bravura LLC","",
"WZUU-FM","Kalamazoo","Rock","","No","","Midwest Communications, Inc.","",
"WNTY-AM","Hartford-New Britain-Middletown","Oldies","WSKPAM","No","","Red Wolf Broadcasting","",
"WCHI-FM","Chicago","Classic Rock","","Yes","HD2:Country-Big 95.5","iHeartMedia, Inc.","",
"WGR-FM","Buffalo-Niagara Falls","Sports","WGRAM","Yes","HD2:Hot AC","Audacy","",
"WNUS-FM","Parkersburg-Marietta, WV-OH","Country","","No","","iHeartMedia, Inc.","",
"WFCV-FM","Ft. Wayne","Religious Teaching","","No","","Bott Broadcasting Co.","",
"WNVA-AM","","Modern/Alternative Rock","WEXXFM","No","","Bristol Broadcasting Co. Inc.","",
"WQSN-FM","","Modern/Alternative Rock","WEXXFM","No","","Bristol Broadcasting Co. Inc.","",
"WAIO-FM","Rochester, NY","Rock","","Yes","HD2:Talk-NewsRadio WHAM 1180","iHeartMedia, Inc.","",
"WLRT-AM","Lexington-Fayette","Spanish Regional Mexican","","No","","Aircom Media","Arce Broadcasting Company",
"WNVR-AM","Chicago","Ethnic","","No","","Polnet Communications, Ltd.","",
"WNVY-AM","Pensacola","Religious Teaching","","No","","Wilkins Communications","",
"WNVZ-FM","Norfolk-Virginia Beach-Newport News","CHR","","Yes","HD2:Hot AC-Channel Q","Audacy","",
"WNWI-AM","Chicago","Ethnic","","No","","Birach Broadcasting Corp.","",
"WQXR-FM","New York","Classical","WQXWFM","Yes","","WNYC Broadcasting Foundation","",
"WNWN-FM","Kalamazoo","Country","","No","","Midwest Communications, Inc.","",
"WNWR-AM","Philadelphia","Religious Teaching","","No","","Wilkins Communications","",
"WNWS-AM","","Talk","WTBGFM","No","","The Mirror-Exchange, Inc.","",
"WNWS-FM","Jackson, TN","Talk","","No","","Golden Media Group, LLC","",
"WNWV-FM","Cleveland","Modern/Alternative Rock","","Yes","","Rubber City Radio Group","",
"WOWW-AM","Memphis","Classic Hits","","No","","Flinn Broadcasting","",
"WNXR-FM","Duluth-Superior","Classic Hits","","No","","Heartland Communications Group, LLC","",
"WNXT-AM","","Sports","","No","","Total Media Group","",
"WNXT-FM","Huntington-Ashland","Adult Contemporary","","No","","Total Media Group","",
"WLIM-AM","Nassau-Suffolk (Long Island)","Spanish News/Talk","","No","","JVC Broadcasting","",
"WNYR-FM","","Adult Contemporary","","No","","The Radio Group","",
"WXLJ-FM","","News/Talk","","No","","St. Lawrence University","",
"WWBA-AM","Tampa-St. Petersburg-Clearwater","Sports","","No","","Genesis Communications","",
"WNZK-AM","Detroit","Ethnic","","No","","Birach Broadcasting Corp.","",
"WFXJ-AM","Jacksonville","Sports","","Yes","","iHeartMedia, Inc.","",
"WVZN-AM","Lancaster","Spanish Religious Teaching","WWRVAM","No","","Radio Vision Cristiana Management","",
"WZKD-AM","Montgomery","Urban Contemporary","WKXKFM","No","","Autaugaville Radio, Inc.","",
"WOAB-FM","Dothan, AL","Spanish Regional Mexican","","No","","Autaugaville Radio, Inc.","",
"WOAD-AM","Jackson, MS","Inspirational Gospel","","No","","Connoisseur Media, LLC","",
"WOAI-AM","San Antonio","News/Talk","","Yes","","iHeartMedia, Inc.","",
"WVBP-AM","Peoria","Urban Adult Hits","","No","","SPOON RIVER MEDIA, LLC","",
"WOAP-AM","","Spanish Regional Mexican","","No","","Cano`s Broadcasting, LLC","",
"WOAY-AM","","Religious Teaching","","No","","Foothills Broadcasting, Inc.","",
"WOBB-FM","Albany, GA","Country","","No","","iHeartMedia, Inc.","",
"WHTI-FM","Morgantown-Clarksburg-Fairmont, WV","Talk","","No","","DISRUPTOR RADIO LLC","",
"WOBL-AM","Cleveland","Classic Country","","No","","WOBL, Inc.","",
"WJLK-AM","Monmouth-Ocean","Format Not Available","","No","","Townsquare Media","",
"WOBM-FM","Monmouth-Ocean","Adult Contemporary","","No","","Townsquare Media","",
"WOBX-AM","","Talk","WZPRFM","No","","East Carolina Radio, Inc.","",
"WOBR-FM","","Classic Rock","","No","","East Carolina Radio, Inc.","",
"WOBT-AM","","Sports","","No","","NRG Media, LLC","",
"WOC-AM","Quad Cities (Davenport-Rock Island- Moline)","Talk","","No","","iHeartMedia, Inc.","",
"WOCA-AM","Gainesville-Ocala","Talk","","No","","Generations Broadcasting","",
"WOCC-AM","Louisville","Classic Country","","No","","TWO HAWKS COMMUNICATIONS LLC","",
"WOCL-FM","Orlando","Classic Hits","","Yes","HD2:Modern/Alternative Rock-O-Rock / HD3:Sports-SportsRadio","Audacy","",
"WKAT-AM","Miami-Ft. Lauderdale-Hollywood","Spanish Religious Teaching","","No","","Piment Bouk Radio, Inc.","",
"WKPE-FM","Cape Cod, MA","Country","","No","","Cape Cod Broadcasting","",
"WOCO-AM","","Classic Hits","","No","","Lamardo, Inc.","",
"WOCO-FM","","Classic Hits","","No","","Lamardo, Inc.","",
"WRDE-FM","Salisbury-Ocean City","Country","WCEMFM","Yes","HD2:Oldies-Kool Oldies 104.3/105.1","Draper Holdings","",
"WZFT-FM","Baltimore","CHR","","Yes","HD2:Rhythmic-CHR- Pride Radio","iHeartMedia, Inc.","",
"WVSC-FM","","Adult Hits","","Yes","HD2:Oldies-Pure Oldies","Saga Communications, Inc.","",
"WODE-FM","Allentown-Bethlehem","Classic Rock","","Yes","HD2:Sports-94.7 FM & 1230 AM Fox Sports","Cumulus Media, Inc.","",
"WTNR-FM","Grand Rapids","Country","","No","","Cumulus Media, Inc.","",
"WBPT-FM","Birmingham","Classic Rock","","No","HD2:Modern/Alternative Rock-X 100.1 / HD3:Adult Alternative","SummitMedia, LLC","",
"WBGB-FM","Boston","Adult Hits","","Yes","HD2:Variety","Audacy","",
"WODT-AM","New Orleans","Talk","","No","","iHeartMedia, Inc.","",
"WODY-AM","","Southern Gospel","WXRIFM","No","","Positive Alternative Radio","",
"WKAL-AM","Utica-Rome","Spanish Tropical","WNRSAM","No","","Matadors, LLC","Arjuna Broadcasting Corp.",
"WODZ-FM","Utica-Rome","Classic Hits","","No","","Townsquare Media","",
"WXRH-AM","","Classic Country","","No","","3B Properties, LLC","",
"WIHG-FM","","Classic Hits","WOFEFM","Yes","HD4:Contemporary Christian-Spirit 101.9","3B Properties, LLC","",
"WOZZ-FM","Wausau-Stevens Point, WI (Central WI)","Rock","","No","","Midwest Communications, Inc.","",
"WCHO-AM","","Oldies","","No","","iHeartMedia, Inc.","",
"WOFX-FM","Cincinnati","Classic Rock","","Yes","","Cumulus Media, Inc.","",
"WOGK-FM","Gainesville-Ocala","Country","","No","","Saga Communications, Inc.","",
"WOGL-FM","Philadelphia","Classic Hits","","Yes","HD2:Classic Hits-Dance Party Radio / HD3:Talk-Talk Radio 1210 WPHT","Audacy","",
"WOGO-AM","Eau Claire, WI","Talk","","No","","Stewards of Sound","",
"WOGR-AM","Charlotte-Gastonia-Rock Hill","Inspirational Gospel","WGASAM/WOGRFM","No","","Victory Christian Center","",
"WOGT-FM","Chattanooga","Country","","No","","Cumulus Media, Inc.","",
"WKVF-FM","Memphis","Contemporary Christian","","Yes","HD2:Classic Hits-Oldies 94.1","K-Love, Inc.","",
"WOHI-AM","","Classic Hits","","No","","OHIO MIDLAND NEWSGROUP, LLC","",
"WZGV-AM","Charlotte-Gastonia-Rock Hill","Sports","","No","","2G Media, Inc","",
"WKKX-AM","Wheeling","Sports","","No","","RCK 1 Group, LLC","",
"WOJG-FM","Jackson, TN","Inspirational Gospel","","No","","Shaw Broadcasting","",
"WOJO-FM","Chicago","Spanish Regional Mexican","","Yes","HD3:Sports-Radio Chicago 1200","TelevisaUnivision, Inc","",
"WXTG-AM","Norfolk-Virginia Beach-Newport News","R&B Classic","","No","","TL BROADCASTING LLC","",
"WOKA-AM","","Contemporary Christian","","No","","Coffee County Broadcasting","",
"WOKA-FM","","Country","","No","","Coffee County Broadcasting","",
"WLAA-AM","Orlando","Format Not Available","","No","","Rama Communications, Inc.","",
"WOKC-AM","","Country","","No","","Glades Media Co.","",
"WJXL-FM","Jacksonville","Sports","WJXLAM","No","","Seven Bridges Radio, LLC","",
"WLEZ-FM","Louisville","Contemporary Christian","","No","","K-Love, Inc.","",
"WCYQ-FM","Knoxville","Country","","Yes","","SummitMedia, LLC","",
"WOKK-FM","","Country","","No","","Mississippi Broadcasters, LLC","",
"WOKN-FM","","Country","","No","","Radigan Broadcasting Group, LLC","",
"WOKO-FM","Montpelier-Barre-St. Johnsbury","Country","","No","","Hall Communications, Inc.","",
"WOKQ-FM","Portsmouth-Dover-Rochester","Country","","No","","Townsquare Media","",
"WOKS-AM","Columbus, GA","Inspirational Gospel","","No","","Davis Broadcasting, Inc.","",
"WOKT-AM","Huntington-Ashland","Contemporary Christian","WPJYFM","No","","Positive Alternative Radio","",
"WOKV-AM","Jacksonville","Sports","","No","","Cox Media Group","",
"WOKW-FM","","Variety","","No","","Raymark Broadcasting, Inc.","",
"WYSR-AM","Greensboro-Winston-Salem-High Point","Spanish Religious Teaching","","No","","IGLESIA CRISTO REYNA INC.","",
"WOKY-AM","Milwaukee-Racine","Sports","","Yes","","iHeartMedia, Inc.","",
"WOL-AM","Washington, DC","Talk","","No","","Radio One / Urban One","",
"WOLB-AM","Baltimore","Talk","","Yes","","Radio One / Urban One","",
"WBOC-FM","Salisbury-Ocean City","Adult Contemporary","","No","","Draper Holdings","",
"WHNK-AM","","Classic Hits","","No","","Bristol Broadcasting Co. Inc.","",
"WOLD-FM","","Classic Hits","","No","","Bristol Broadcasting Co. Inc.","",
"WOLF-AM","Syracuse","Sports","WOSWAM","Yes","","Craig Fox","",
"WRLX-FM","West Palm Beach-Boca Raton","Spanish CHR","","Yes","","iHeartMedia, Inc.","",
"WOLH-AM","Florence, SC","Sports","","No","","Community Broadcasters, LLC","",
"WOLV-FM","","Classic Hits","","No","","Morgan Murphy Media Group","",
"WOLX-FM","Madison","Classic Hits","","Yes","HD2:Hot AC-Channel Q","Audacy","",
"WOLZ-FM","Ft. Myers-Naples","80s Hits","","Yes","HD2:Contemporary Christian-Way FM","iHeartMedia, Inc.","",
"WOMC-FM","Detroit","Classic Hits","","Yes","HD2:Oldies-Oldies 104.3 / HD3:Adult Alternative-MusicTown","Audacy","",
"WLXC-FM","Columbia, SC","Urban Adult Contemporary","","No","","Cumulus Media, Inc.","",
"WOMI-AM","Evansville","Talk","","No","","Townsquare Media","",
"WLYV-AM","Wheeling","Talk","WEIRAM","No","","OHIO MIDLAND NEWSGROUP, LLC","",
"WOMP-FM","Wheeling","Classic Hits","","No","","OHIO MIDLAND NEWSGROUP, LLC","",
"WOMT-AM","","Adult Contemporary","WOMTFM","No","","Seehafer Broadcasting Corp.","",
"WOMX-FM","Orlando","Hot AC","","Yes","HD2:Rhythmic-CHR","Audacy","",
"WLEE-AM","","Inspirational Gospel","","No","","Southern Electronics Co.","",
"WLEE-FM","","Country","","No","","Southern Electronics Co.","",
"WOND-AM","Atlantic City-Cape May","News/Talk","","No","","Longport Media","",
"WONE-AM","Dayton","Sports","","Yes","","iHeartMedia, Inc.","",
"WONE-FM","Akron","Classic Rock","","No","","Rubber City Radio Group","",
"WONN-AM","","Sports","","No","","Hall Communications, Inc.","MARC Radio Group",
"WOEZ-FM","","Soft AC","","No","","Saga Communications, Inc.","",
"WONQ-AM","Orlando","Spanish Tropical","WVVOAM","No","","Q Broadcasting Corporation","",
"WONW-AM","","Talk","","No","","iHeartMedia, Inc.","",
"WCGO-AM","Chicago","Format Not Available","","No","","Ambiente Clasico LLC","",
"WGYM-AM","Atlantic City-Cape May","Religious Teaching","","No","","Domestic Church Media Foundation","",
"WOOD-AM","Grand Rapids","News/Talk","WOODFM","No","","iHeartMedia, Inc.","",
"WSRW-FM","Grand Rapids","Adult Contemporary","","Yes","","iHeartMedia, Inc.","",
"WOOF-AM","Dothan, AL","Sports","","No","","WOOF Incorporated","",
"WOOF-FM","Dothan, AL","Adult Contemporary","","No","","WOOF Incorporated","",
"WOON-AM","Providence-Warwick-Pawtucket","Variety","","No","","O-N Radio, Inc.","",
"WSVX-AM","Indianapolis","Country","","No","","3 Towers Broadcasting Company, LLC","",
"WAYC-FM","","Hot AC","","No","","Cessna Communications, Inc.","",
"WOOZ-FM","","Country","","No","","Max Broadcast Group Holdings, LLC","",
"WOPI-AM","Johnson City-Kingsport-Bristol","Sports","WKPTAM","No","","Holston Valley Broadcasting Corp.","",
"WOPP-AM","","Format Not Available","","No","","E & R Broadcasting, Inc.","",
"WOR-AM","New York","Talk","","Yes","","iHeartMedia, Inc.","",
"WORC-AM","Worcester","Spanish Tropical","","No","","Gois Broadcasting","",
"WOLI-AM","Greenville-Spartanburg","Spanish Regional Mexican","","No","","Norsan Group","",
"WORD-FM","Pittsburgh, PA","Religious Teaching","","No","","Salem Media Group","",
"WORG-FM","Columbia, SC","Contemporary Christian","","No","","K-Love, Inc.","",
"WRFK-FM","Montpelier-Barre-St. Johnsbury","Classic Rock","WWFKFM","No","","Great Eastern Radio, LLC","",
"WORM-AM","","Country","WORMFM","No","","Hunt Communications LLC","",
"WORM-FM","","Country","WORMAM","No","","Hunt Communications LLC","",
"WXGO-AM","","Classic Hits","","Yes","","DuBois County Broadcasting","",
"WORX-FM","","Hot AC","","Yes","","DuBois County Broadcasting","",
"WKZP-FM","Salisbury-Ocean City","CHR","","No","","iHeartMedia, Inc.","",
"WOSE-FM","","Classical","","No","HD2:News/Talk-WOSU FM 89.7 NPR News","Ohio State University","",
"WOSH-AM","Appleton-Oshkosh","Talk","","No","","Cumulus Media, Inc.","",
"WOSM-FM","Biloxi-Gulfport-Pascagoula","Talk","WANGAM","No","","TeleSouth Communications, Inc.","",
"WOSQ-FM","Wausau-Stevens Point, WI (Central WI)","Sports","","No","","Central Wisconsin Broadcasting, Inc.","",
"WKKB-FM","Providence-Warwick-Pawtucket","Spanish Tropical","","No","","Red Wolf Broadcasting","",
"WOTR-FM","","Oldies","","No","","Della Jane Woofter","",
"WOTS-AM","Orlando","Spanish News/Talk","","No","","J & V Communications Co.","",
"WOUR-FM","Utica-Rome","Classic Rock","","No","","Townsquare Media","",
"WOVK-FM","Wheeling","Country","","No","","iHeartMedia, Inc.","",
"WLDI-FM","West Palm Beach-Boca Raton","CHR","","Yes","","iHeartMedia, Inc.","",
"KXSP-AM","Omaha-Council Bluffs","Silent","","No","","SummitMedia, LLC","",
"KQCH-FM","Omaha-Council Bluffs","CHR","","Yes","","SummitMedia, LLC","",
"WSKU-FM","Utica-Rome","CHR","WSKSFM","No","","Roser Communications Network, Inc.","",
"WDXB-FM","Birmingham","Country","","Yes","HD2:Talk-BIN","iHeartMedia, Inc.","",
"WNFH-FM","Flint","Contemporary Christian","WNFRFM","No","","Wonderful News Radio, Inc.","",
"WOWI-FM","Norfolk-Virginia Beach-Newport News","Urban Contemporary","","Yes","","iHeartMedia, Inc.","",
"WOWN-FM","","Rock","","No","","Results Broadcasting","",
"WOWO-AM","Ft. Wayne","News/Talk","WFWIFM","Yes","","Federated Media","",
"WIFT-FM","","Country","","No","","Seven Mountains Media, LLC","",
"WRGV-FM","Pensacola","Urban Contemporary","","Yes","","iHeartMedia, Inc.","",
"WSKS-FM","Utica-Rome","CHR","WSKUFM","No","","Roser Communications Network, Inc.","",
"WOXD-FM","","Classic Hits","","No","","Taylor Communications, Inc.","",
"WYRB-FM","Rockford","Rhythmic-CHR","","Yes","","Crawford Broadcasting Co.","",
"WOXO-FM","Portland, ME","Country","WIGYFM","No","","BENNETT RADIO GROUP, LLC","",
"WTAZ-AM","","Sports","","No","","Woodard Broadcasting Co,. Inc.","",
"WOXY-FM","Cincinnati","Classic Hits","WNKRFM","No","","Radioactive, LLC","Grant County Broadcasters, Inc.",
"WOYK-AM","York","Sports","","No","","York Professional Baseball Club, LLC","",
"WFCX-FM","","Adult Hits","","No","","East Bay Broadcasting, Inc.","",
"WOZI-FM","","Classic Rock","","No","","Townsquare Media","",
"WOZK-AM","Dothan, AL","R&B Classic","","No","","Autaugaville Radio, Inc.","",
"WCNK-FM","","Country","","No","","Keys Country Media LLC","",
"WGEE-FM","Appleton-Oshkosh","Classic Country","","No","","Midwest Communications, Inc.","",
"WQTK-FM","Watertown, NY","Talk","","No","","Community Broadcasters, LLC","",
"WPAD-AM","","Sports","","No","","Bristol Broadcasting Co. Inc.","",
"WPAK-AM","","Soft AC","","No","","WHITE PINE ENTERPRISES, INC.","",
"WLTQ-AM","Charleston, SC","Religious Teaching","WCKIAM","No","","Mediatrix SC, Inc.","",
"WAYA-FM","Charleston, SC","Contemporary Christian","","No","","Hope Media Group","",
"WPAP-FM","Panama City, FL","Country","","No","","iHeartMedia, Inc.","",
"WPAQ-AM","","Bluegrass","","No","","Granite City Broadcasting, Inc.","",
"WPAT-AM","New York","Ethnic","","No","","Multicultural Radio Broadcasting","",
"WPAT-FM","New York","Spanish Adult Contemporary","","Yes","","Spanish Broadcasting System","",
"WJKD-FM","Ft. Pierce-Stuart-Vero Beach","Adult Hits","","No","","MARC Radio Group","",
"WPAX-AM","","Adult Contemporary","","No","","Flint Media, Inc.","",
"WPYK-FM","Huntington-Ashland","Contemporary Christian","","No","","K-Love, Inc.","",
"WPAZ-AM","Philadelphia","Contemporary Christian","","No","","Four Rivers Community Broadcasting Corp.","",
"WFLF-FM","Panama City, FL","Rock","","No","","iHeartMedia, Inc.","",
"WTPA-AM","West Palm Beach-Boca Raton","Format Not Available","","No","","Glory to El Shaddai Radio Stations, Inc.","",
"WPBS-AM","Atlanta","Ethnic","","No","","VANESSA NGUYEN","Viet Song Media",
"WIRK-FM","West Palm Beach-Boca Raton","Country","","Yes","HD2:Sports-FOX Sports 640AM South Florida / HD3:Oldies-True Oldies","Hubbard Broadcasting, Inc.","",
"WPCC-AM","","Oldies","","No","","LARGE TIME RADIO NETWORK LLC","",
"WPCE-AM","Norfolk-Virginia Beach-Newport News","Inspirational Gospel","","No","","FRIENDSHIP CATHEDRAL FAMILY WORSHIP CENTER, INC.","",
"WRXB-FM","Panama City, FL","Classic Country","","No","","JVC Broadcasting","",
"WUBL-FM","Atlanta","Country","","Yes","HD2:CHR","iHeartMedia, Inc.","",
"WPCI-AM","Greenville-Spartanburg","Variety","","Yes","","Paper Cutters, Inc.","",
"WYMY-FM","Greensboro-Winston-Salem-High Point","Spanish Regional Mexican","","No","","Curtis Media Group","",
"WPIW-AM","Evansville","Classic Country","","No","","The Original Company, Inc.","Posey County Radio, LLC.",
"WPCV-FM","","Country","","No","","Hall Communications, Inc.","MARC Radio Group",
"WSYR-FM","Syracuse","News/Talk","WSYRAM","No","HD2:Urban Adult Contemporary-Power 620 / HD3:Contemporary Christian-Air1","iHeartMedia, Inc.","",
"WPDA-FM","","Rock","WPDHFM","Yes","","Townsquare Media","",
"WPDC-AM","Lancaster","Oldies","","No","","JVJ Communications, Inc.","",
"WPDH-FM","Poughkeepsie, NY","Rock","WPDAFM","Yes","HD2:Classic Hits-WALL Radio / HD3:Spanish Adult Hits-Juan AM","Townsquare Media","",
"WBZQ-AM","Ft. Wayne","Format Not Available","","No","","Fifty Seven Media LLC","",
"WPDM-AM","","Country","WICYAM","No","","Martz Communications Group Inc.","",
"WBOB-AM","Jacksonville","Talk","","Yes","","Chesapeake-Portsmouth Broadcasting Corp.","",
"WAUN-AM","Madison","Classic Rock","","No","","Magnum Media","",
"WPDX-FM","Morgantown-Clarksburg-Fairmont, WV","Classic Country","WPDXAM","No","","AJG Broadcasting Co.","",
"WPEG-FM","Charlotte-Gastonia-Rock Hill","Urban Contemporary","","Yes","HD2:Sports-Fox Sport Charlotte / HD3:Talk","Beasley Media Group","",
"WPEH-AM","","Country","WPEHFM","No","","Peach Broadcasting Co., Inc.","",
"WPEH-FM","","Country","WPEHAM","No","","Peach Broadcasting Co., Inc.","",
"WHZT-FM","Greenville-Spartanburg","Rhythmic-CHR","","No","","SummitMedia, LLC","",
"WPEL-AM","","Silent","","No","","Montrose Broadcasting Corp.","",
"WKDN-AM","Philadelphia","Religious Teaching","","Yes","","Loam Media","",
"WPEO-AM","Peoria","Religious Teaching","WPEOFM","No","","WPEO Radio Foundation","",
"WHAN-AM","Richmond","Adult Alternative","","No","","STU-COMM, Inc.","",
"WPET-AM","Greensboro-Winston-Salem-High Point","Gospel Music","","No","","Truth Broadcasting","",
"WHTA-FM","Atlanta","Urban Contemporary","","Yes","HD2:News/Talk","Radio One / Urban One","",
"WPFB-AM","Cincinnati","Religious Teaching","","No","","Catholic Radio Foundation of Greater Cincinnati","",
"WNKN-FM","Cincinnati","Religious Teaching","","No","","Relevant Radio","",
"WPFC-AM","Baton Rouge","Inspirational Gospel","","No","","Victory & Power Ministries, Inc.","",
"WPFJ-AM","Asheville","Contemporary Christian","","No","","Radio Training Network, Inc.","",
"WPFM-FM","Panama City, FL","Contemporary Christian","","No","","K-Love, Inc.","",
"WDDO-AM","Macon","Inspirational Gospel","","No","","THE GLORY MEDIA GROUP, LLC","",
"WNEX-FM","Macon","Americana","","No","","CREEK MEDIA, LLC","",
"WJFK-AM","Washington, DC","Sports","","Yes","","Audacy","",
"WPGC-FM","Washington, DC","Rhythmic-CHR","","Yes","HD2:Sports-106.7 The Fan","Audacy","",
"WNCV-FM","Ft. Walton Beach-Destin, FL","Adult Contemporary","","No","","Cumulus Media, Inc.","",
"WCID-FM","","Contemporary Christian","","Yes","","Family Life Ministries Radio","",
"WPGS-AM","Melbourne-Titusville-Cocoa","Silent","","No","","WPGS, Inc.","",
"WPGU-FM","","Modern/Alternative Rock","","No","","Illini Media Co.","",
"WPGW-AM","","Classic Hits","","No","","Adams County Radio, Inc.","",
"WPGW-FM","Muncie-Marion, IN","Country","","No","","Adams County Radio, Inc.","",
"WOTH-FM","Williamsport, PA","CHR","","No","","Backyard Broadcasting of Pennsylvania  LLC","",
"WLGJ-AM","","Classic Country","WLEJAM","No","","Seven Mountains Media, LLC","",
"WQWK-FM","","Rock","","No","","Schlesinger Communications, Inc.","",
"WQMV-AM","","Oldies","","No","","DCDL Media, Inc.","",
"WMTT-FM","","Classic Rock","WENIFM","No","","Seven Mountains Media, LLC","",
"WPHE-AM","Philadelphia","Spanish Religious Teaching","","No","","Radio Salvacion, Inc.","",
"WPHK-FM","","Religious Teaching","","No","","La Promesa Foundation","",
"WPIB-FM","Roanoke-Lynchburg","Contemporary Christian","WRXTFM","No","","Positive Alternative Radio","",
"WPIC-AM","Youngstown-Warren","Talk","","No","","Cumulus Media, Inc.","",
"WPIE-AM","","Sports","","No","","Vizella Media","",
"WPIG-FM","","Country","","No","","Seven Mountains Media, LLC","",
"WPIK-FM","","Talk","WKEZFM","No","","Magnum Broadcasting, Inc.","",
"WPIP-AM","Greensboro-Winston-Salem-High Point","Religious Teaching","","No","","Berean Baptist Church","",
"WSFN-AM","Brunswick, GA","Sports","","No","","Shanks Broadcasting","",
"WPIT-AM","Pittsburgh, PA","Religious Teaching","","No","","Salem Media Group","",
"WNPE-FM","Providence-Warwick-Pawtucket","News/Talk","","Yes","","The Public`s Radio","",
"WPJK-AM","","Sports","","No","","South Carolina State University","",
"WPJL-AM","Raleigh-Durham","Spanish Religious Teaching","","No","","DIVINE MERCY RADIO, NC.","",
"WPJM-AM","Greenville-Spartanburg","Inspirational Gospel","","No","","Full Gospel WPJM 800 AM Radio","",
"WPJS-AM","Myrtle Beach, SC","Silent","","No","","WPJS Broadcasting, Inc.","",
"WPKE-AM","","Classic Hits","WPRTAM","No","","MOUNTAIN TOP MEDIA LLC","",
"WPKE-FM","","Classic Rock","","No","","MOUNTAIN TOP MEDIA LLC","",
"WHXR-FM","Portland, ME","Rock","","No","","Binnie Media","",
"WPKO-FM","","Hot AC","","Yes","HD2:Classic Rock-107.3 The Drive","V-Teck Communications, Inc.","",
"WPKR-FM","Appleton-Oshkosh","Country","","No","","Cumulus Media, Inc.","",
"WUCS-FM","Hartford-New Britain-Middletown","Sports","","Yes","","iHeartMedia, Inc.","",
"WPKY-AM","","Classic Hits","","No","","Ham Broadcasting Co., Inc.","",
"WACL-FM","Harrisonburg, VA","Classic Rock","","No","","iHeartMedia, Inc.","",
"WJBT-FM","Jacksonville","Urban Contemporary","","Yes","HD2:Talk-BIN 104.1","iHeartMedia, Inc.","",
"WGLM-AM","","Classic Country","","No","","JAM Radio LLC","",
"WGLM-FM","","Adult Hits","","No","","JAM Radio LLC","",
"WPLJ-FM","New York","Contemporary Christian","","Yes","HD2:Contemporary Christian-K-LOVE 90s / HD3:Contemporary Christian-Air1","K-Love, Inc.","",
"WPLK-AM","","Oldies","","No","","Blue Crab Broadcasting LLC","",
"WPLM-AM","Boston","Talk","","No","","Plymouth Rock Broadcasting Corp.","",
"WPLM-FM","Boston","Soft AC","","No","","Plymouth Rock Broadcasting Corp.","",
"WPLO-AM","Atlanta","Spanish Adult Hits","","No","","Teresa Esquivel","",
"WPLR-FM","New Haven","Classic Rock","","Yes","HD2:News/Talk-WICC 600 AM 95.9 FM","Connoisseur Media, LLC","",
"WGUE-AM","Memphis","Spanish Regional Mexican","","No","","BUTRON MEDIA CORPORATION","",
"WRNB-FM","Philadelphia","Urban Contemporary","","Yes","","Radio One / Urban One","",
"WKJM-FM","Richmond","Urban Adult Contemporary","WKJSFM","Yes","HD2:Urban Contemporary-iPower 92.1/104.1 FM","Radio One / Urban One","",
"WPMB-AM","","Adult Contemporary","","No","","I70 Media, Inc.","",
"WKQR-FM","","Adult Hits","","No","","FIRST MEDIA SERVICES, LLC","",
"WQTS-FM","","Southern Gospel","","No","","The Power Foundation","",
"WPMZ-AM","Providence-Warwick-Pawtucket","Spanish Tropical","","No","","Video Mundo Broadcasting Co., LLC","",
"WEUR-AM","Chicago","Ethnic","","No","","CSWWII, LLC","",
"WPNC-FM","","Adult Contemporary","","No","","Durlyn Broadcasting Co.","",
"WPNH-AM","Lebanon-Hanover-White River Junction, NH-VT","Oldies","WFTNAM","No","","Northeast Communications","",
